channel_code,en_acronym,fr_acronym,channel_name
46006,BSTDB,BSTDB,Black Sea Trade and Development Bank
46007,CABEI,BCAIE,Central American Bank for Economic Integration 
46008,CAF,CAF,Development Bank of Latin America
46009,CDB,BDC,Caribbean Development Bank 
46012,IDB,BID,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund "
46013,IDB FSO,BID FOS,"Inter-American Development Bank, Fund for Special Operations "
46015,EBRD,BERD,European Bank for Reconstruction and Development
46016,EBRD TFs - ODA Countries Only,BERD-CTFS pays éligibles à l'APD,European Bank for Reconstruction and Development – technical co-operation and special funds (ODA-eligible countries only)
46017,EBRD TFs - All Countries,BERD-CTFS tous pays,European Bank for Reconstruction and Development – technical co-operation and special funds (all EBRD countries of operations)
46018,EBRD-ETC,BERD-ETC,European Bank for Reconstruction and Development - Early Transition Countries Fund
46019,EBRD-WBJTF,BERD-FSpBO,European Bank for Reconstruction and Development - Western Balkans Joint Trust Fund
46020,BDEAC,BDEAC,Central African States Development Bank
46021,BOAD,BOAD,West African Development Bank
46022,Afreximbank,Afreximbank,African Export Import Bank
46023,TDB,TDB,Eastern and Southern African Trade and Development Bank
46024,CEB,CEB,Council of Europe Development Bank
46025,IsDB,BIsD,Islamic Development Bank
46026,AIIB,BAII,Asian Infrastructure Investment Bank
46027,FONPLATA,FONPLATA,Financial Fund for the Development of the River Plate Basin
47000,,,Other multilateral institution
47001,ACBF,ACBF,African Capacity Building Foundation 
47002,APO,APO,Asian Productivity Organisation 
47003,ASEAN,ANASE,Association of South East Asian Nations: Economic Co-operation 
47005,AU,UA,African Union (excluding peacekeeping facilities) 
47008,AVRDC,AVRDC,World Vegetable Centre
47009,CAMES,CAMES,African and Malagasy Council for Higher Education 
47010,CAPAM,CAPAM,Commonwealth Agency for Public Administration and Management 
47011,CARICOM,CARICOM,Caribbean Community Secretariat 
47012,CAREC,CAREC,Caribbean Epidemiology Centre 
47013,CF,CF,Commonwealth Foundation 
47015,CGIAR,CGIAR,CGIAR Fund
47017,CIAT,CIAT,International Centre for Tropical Agriculture 
47018,CIFOR,CIFOR,Centre for International Forestry Research 
47019,CIHEAM,CIHEAM,International Centre for Advanced Mediterranean Agronomic Studies 
47020,CIMMYT,CIMMYT,International Maize and Wheat Improvement Centre 
47021,CIP,CIP,International Potato Centre 
47022,CITES,CITES,Convention on International Trade in Endangered Species of Wild Flora and Fauna
47025,COL,COL,Commonwealth of Learning 
47026,CPLP,CPLP,Community of Portuguese Speaking Countries 
47027,CP ,CP,Colombo Plan
47028,CPTM,CPTM,Commonwealth Partnership for Technical Management 
47029,SWAC,CSAO,Sahel and West Africa Club 
47034,ECOWAS,CEDEAO,Economic Community of West African States 
47035,ENDA,ENDA,Environmental Development Action in the Third World 
47036,EPPO,OEPP,European and Mediterranean Plant Protection Organisation 
47037,EROPA,EROPA,Eastern-Regional Organisation of Public Administration 
47040,FFA,FFA,Forum Fisheries Agency 
47041,FFTC,FFTC,Food and Fertilizer Technology Centre 
47042,FIT,FIT,Foundation for International Training 
47043,,,Global Crop Diversity Trust 
47044,GEF,FEM,Global Environment Facility Trust Fund
47045,Global Fund,Fonds mondial,"Global Fund to Fight AIDS, Tuberculosis and Malaria "
47046,OIF,OIF,International Organisation of the Francophonie
47047,IAI,IIA,International African Institute 
47050,ICAC,CCIC,International Cotton Advisory Committee 
47051,ICARDA,ICARDA,International Centre for Agricultural Research in Dry Areas 
47053,"ICDDR,B","ICDDR,B","International Centre for Diarrhoeal Disease Research, Bangladesh"
47054,ICIPE,ICIPE,International Centre of Insect Physiology and Ecology 
47055,ICRA,ICRA,International Centre for Development Oriented Research in Agriculture 
47056,ICRAF,ICRAF,World AgroForestry Centre
47057,ICRISAT,ICRISAT,International Crop Research for Semi-Arid Tropics 
47058,IDEA,IDEA,International Institute for Democracy and Electoral Assistance 
47059,IDLO,IDLO,International Development Law Organisation 
47061,IICA,IICA,Inter-American Institute for Co-operation on Agriculture 
47062,IITA,IITA,International Institute of Tropical Agriculture 
47063,ILRI,ILRI,International Livestock Research Institute 
47064,INBAR,INBAR,International Network for Bamboo and Rattan 
47065,IOC,COI,Intergovernmental Oceanographic Commission 
47066,IOM,OIM,International Organisation for Migration 
47067,IPCC,GIEC,Intergovernmental Panel on Climate Change 
47068,APFIC,APFIC,Asia-Pacific Fishery Commission
47069,,,Bioversity International
47070,IRRI,IIRR,International Rice Research Institute 
47071,ISTA,ISTA,International Seed Testing Association 
47073,ITTO,OIBT,International Tropical Timber Organisation 
47074,IVI,IIV,International Vaccine Institute 
47075,IWMI,IWMI,International Water Management Institute 
47076,JSCA,JSCA,Justice Studies Centre of the Americas 
47077,MRC,MRC,Mekong River Commission 
47078,Montreal Protocol,Protocol de Montréal,Multilateral Fund for the Implementation of the Montreal Protocol 
47079,OAS,OEA,Organisation of American States 
47080,OECD,OCDE,Organisation for Economic Co-operation and Development (Contributions to special funds for Technical Co-operation Activities Only) 
47081,OECD-Dev. Centre,OCDE-Centre de dév. ,OECD Development Centre 
47082,OECS,OECO,Organisation of Eastern Caribbean States 
47083,PAHO,OPS,Pan-American Health Organisation 
47084,PAIGH,PAIGH,Pan-American Institute of Geography and History 
47086,PIDG,PIDG,Private Infrastructure Development Group 
47087,PIFS,SFIP,Pacific Islands Forum Secretariat 
47089,SADC,SADC,Southern African Development Community 
47092,SEAFDC,SEAFDC,South East Asian Fisheries Development Centre 
47093,SEAMEO,SEAMEO,South East Asian Ministers of Education 
47095,EQAP,EQAP,Educational Quality and Assessment Programme
47096,SPC,CPS,Secretariat of the Pacific Community 
47097,SPREP,PROE,Pacific Regional Environment Programme 
47098,UNPO,UNPO,Unrepresented Nations and Peoples’ Organisation 
47099,USP,USP,University of the South Pacific 
47100,WAMU,UMOA,West African Monetary Union 
47101,WARDA,ADRAO,Africa Rice Centre
47103,WMU,UMM,World Maritime University 
47104,WorldFish Centre,WorldFish Centre,WorldFish Centre
47105,CFC,,Common Fund for Commodities 
47106,DCAF,DCAF,Geneva Centre for the Democratic Control of Armed Forces
47107,IFFIm,IFFIm,International Finance Facility for Immunisation
47109,APEC ASF,APEC-ASF,Asia-Pacific Economic Cooperation Support Fund (except contributions tied to counter-terrorism activities)
47110,BSEC,BSEC,Organisation of the Black Sea Economic Cooperation
47111,,,Adaptation Fund
47112,CEI-Climate Fund,CEI-Climate Fund,Central European Initiative - Special Fund for Climate and Environmental Protection
47113,CEMAC,CEMAC,Economic and Monetary Community of Central Africa 
47114,AFoCO,AFoCO,Asian Forest Cooperation Organisation
47116,IF,CI,Integrated Framework for Trade-Related Technical Assistance to Least Developed Countries
47117,NEPAD,NEPAD,New Partnership for Africa's Development
47118,CREFIAF,CREFIAF,Regional Organisation for the Strengthening of Supreme Audit Institutions of Francophone Sub-Saharan Countries
47119,OSS,OSS,Sahara and Sahel Observatory
47120,SAARC,SAARC,South Asian Association for Regional Cooperation 
47121,UCLGA,CGLUA,United Cities and Local Governments of Africa
47122,GAVI,GAVI,Global Alliance for Vaccines and Immunization 
47123,GICHD,CIDHG,Geneva International Centre for Humanitarian Demining 
47124,IACA,IACA,International Anti-Corruption Academy
47125,ICGEB,ICGEB,International Centre for Genetic Engineering and Biotechnology
47127,OLADE,OLADE,Latin-American Energy Organisation
47128,NDF,NDF,Nordic Development Fund
47129,GEF-LDCF,FEM - FPMA,Global Environment Facility - Least Developed Countries Fund
47130,GEF-SCCF,FEM - FSpCC,Global Environment Facility - Special Climate Change Fund
47131,OSCE,OSCE,Organization for Security and Co-operation in Europe
47132,,,Commonwealth Secretariat (ODA-eligible contributions only)
47134,CTF,FTP,Clean Technology Fund
47135,SCF,FSC,Strategic Climate Fund
47136,GGGI,GGGI,Global Green Growth Institute
47137,ARC,ARC,African Risk Capacity Group
47138,CoE,CoE,Council of Europe
47139,WCO CCF,OMD CCF,World Customs Organization Customs Co-operation Fund
47140,OEI,,"Organisation of Ibero-American States for Education, Science and Culture"
47141,ATAF,ATAF,African Tax Administration Forum
47142,OFID,OFID,OPEC Fund for International Development
47143,GCERF,GCERF,Global Community Engagement and Resilience Fund
47144,IRENA,IRENA,International Renewable Energy Agency
47145,CEF,,Center of Excellence in Finance
47146,IIB,,International Investment Bank (IIB)
47147,IFFEd,IFFEd,International Finance Facility for Education
47148,OIE,OIE,World Organisation for Animal Health
47149,ICMP,CIPD,International Commission on Missing Persons
47400,,,European Space Agency (ESA) programme “Space in support of International Development Aid” 
47501,GPE,PME,Global Partnership for Education
47502,GFDRR,,Global Fund for Disaster Risk Reduction
47503,GAFSP,,Global Agriculture and Food Security Program
47504,FCPF,,Forest Carbon Partnership Facility 
51000,,,"University, college or other teaching institution, research institute or think‑tank"
51001,IFPRI,IFPRI,International Food Policy Research Institute
